,comment_text,toxic
10348, ReDYKsuggestion format   Hi Politizer just wondering about the output of your DYKsuggestion template  I notice for example that for the Zhao Zongru hook the template is outputting the following     creator            Nlu    creator2               creator3               creator4               expander               expander2              expander3              nominator              comment                image                  credits               DYKmakeZhao ZongruNlu  I cant really see the point in all this Once DYKsuggestion has outputted the credit string ie DYKmakeZhao ZongruNlu why do we need all the rest It seems redundant and it takes up a lot of space Also we are experiencing increasing problems with loading times for the page so the less text the better  One other thing Ive noticed your code outputs this whole DYKsuggestion thing in brackets  Is there a reason for that I cant see why they are needed     I agree with you that now that we have the credit templates created theres not a whole lot of reason to output the rest  I know Suntag for example likes having all of that output because he says it makes it easier to see whos who and easier to modify things if you need to ie if the nominator forgot to credit someone or if you want to add an image or something I agree with that to a point but if the size is beginning to create page load problems then we should at least find a happy medium I guess  My dream has been to get the DYKsug template working in such a way that it calls  but only with the parameters that the person actually filled inso the output for Nlus nom above would be more like    creator            Nlu    credits               DYKmakeZhao ZongruNlu  Ive been having a bitch of a time getting that to work it looks like it should be a simple matter of putting in some if expressions but I havent had any luck yet I asked Ameliorate to look into it a while back but I think he was away at the time so I might try nudging himher again or getting in touch with Lifebaka who has also helped out with the template  As for why the code outputs DYKsuggestion in bracketswell it gets a little confusing even for me because I didnt create the template topdown like I should have but put things together piece by piece making changes when a problem came up etc so right now its thrown together a bit randomly  But basically substing the  template made the output really uglywhat you see on the page looks beautiful but what you see in the edit window is horrible see here for an example  So part of the reason the DYKsuggestion stuff is generated in templates is because that template is always transcluded rather than substed when its first called  On the other hand DYKsug the template on the outside that calls it is always substedthe main reason for this is because if a template is transcluded the section edit link it creates on the righthand side of the page would cause you to be editing the template itself rather than the section on TTDYKso we needed the outside template to be substed to create a working section edit link as well as a few little thingsâ€”the credits templates and a timestamp that stays the same as it was when you first made the nom as well as an inside template that would never be substed because the code it would produce is horrible  Anyway I agree with you that something needs to be doneespecially if the template is starting to affect load times  Personally I think the best thing for now is to get  to only output the fields that the nominator actually filled in if you think thats a good idea I can start asking around for some help unfortunately I will be traveling and visiting friends for the next two weeks or so starting today so I might not have a good chance to devote a couple hours to template work  If you dont think thats good enough we can go back to the drawing board and see what else can be done  As a supertemporary fix I can go into TTDYK now and delete some of the extra unused text manually just to get the loadtimes back to normal for a couple days â€”Â ,no
10832, Sam   Oh I hate Sam she is a big bitch I wanna poke her in the eye and something I forgot the words Someday I shall upload the MP3 of Hazel singing Its really quite beautiful,yes
11957,Pussy Stop bitching about Wikipidea trolls No life,yes
11959,  It WAS the same guy he came back and made remarks to me on my talk page BTW hes wrong I never had anything deleted everything Ive ever done is in the history I dont know why he has to always find someone to bother but it appears he does   I was thinking Nishkid and another admin had already taken care of him before I saw he found a way to sneak back in and was back and bothering someone else He has been a huge problem and has been reported by many people He has also been blocked by trusilver and AlexiusHoratius and maybe more I hope he can be stopped forever somehow Mods have expressed concern that a wide rangeblock would be unfair to others in his region with his ISP but I say thats all hypothetical because we dont know if any of them will try to edit and if they had problems they could contact the staff for help This guy is so bad Id vote for just blocking his whole range He is a terrorist      Since you have chosen to make it a war of words with the other guy Ive decided that Ive wasted my time trying to find the middle ground here Im not saying you two have to stop your bitchfest I am simply saying you cant continue it here Aggie I told you to file an RfCU and you completely ignored me I told you to sit quietly and await the conclusion of that checkuser and you ignored that too Wasting my time comes with a cost In the real world In the RW it would likely be something far more unpleasant here it is simply being ignored as a troll Good day to both of you Psst  it means Go peddle your drama elsewhere Ive had my full here     ,no
12179,Okay nobody is helping me with reformatting my article so Im going to bitch up and do it myself over the next two weeks,no
12991,I went to high school bitch  I do think that should be mentioned somehow in the article because its something that has spread to nearly EVERY school on facebook,yes
13208, bitch   vgdfut tey                           fsddfsssssssssssssssssdtrdttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttghghghghgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggtttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,yes
13347,  You are so full of yourself You are the epitome of why people leave wiki All you want to do is bitch and whine and complain rather than build content Youre too lazy to do that       Content is accurate If you know its not and you fight to keep it youre just a vandal  Maybe you can take time out to count your own insults and figure out if you really care And go away from my talk page   ,no
13397,The Boy Who Cried Wolf  logging onto enwiki to call Marine Le Pen an ugly bitch destroys all credibility,yes
13559,I cant identify any pic that is of her father from an image search I think it is a lack of verifiable evidence regarding her being mixed race that has prevented reporting it  neither the mainstream press nor us can say of course shes mixed race its obvious It wouldnt have been relevant regarding her trial a defendant being mixed race is not a valid defence to being accused of calling someone a black bitch which the court in any case didnt believe she did do,no
14092,    Hey you just welcomed yourself Thats kind of weird Anyway please refrain from removing content from Wikipedia as you did when you blanked TalkProstitution in India It is considered vandalism If you want to experiment please use the sandbox Also why did you readd that link to nigger disambiguation All it did was call that porn star a bitch and a nigger Also what is with this edit summary Im not sure who Prashanti is but if its another user keep in mind that personal attacks are against our no personal attacks policy Thank you   ,no
14362,Hillary Clinton then decided to drop the middle name Rodham because she is the biggest bitch this side of Wisconsin,yes
14909,   Semiprotected edit request on 29 March 2014     Please change The BitchAbdel Fattah Saeed Hussein Khalil ElSisi TO Field Marshal Abdel Fattah Saeed Hussein Khalil ElSisi  The bitch is not one of the Egyptian military ranks probably one of biased haters decided to add it as a childish act  httpwwwabcnetaunews20140128egypt27smilitarycouncilmeetstodecidesisi27spoliticala5221486  httpsenwikipediaorgwikiEgyptianArmyranks    ,no
15207, Media GALILEO SLEPT WITH HIS MOM  GAILEO SLEPT WITH HIS CHILDREN  GALILEO HAD 36 WIVES  GALILEO SUCKED HIS DADS BALLS  GALILEO IS A BITCH               Link title    Headline text ,yes
15454,you are a bitch noone likes you  also what do you do for a living,yes
16009,You are so smart I wish I culd be as smart as you You use so many big words Please teach me the art of bitch I do value your opinion,no
16315, 4 THA LAST FKN TIME BITCHEZ   DEY R NOT HEAVY METL DEY R HEAVY RAPwtagfrdzgwsd  U R ALL RACIST,yes
17365,shut the mutherfunkin up bitch azz niggaz,yes
17959,And the only edits I saw to Trina were you attempting to add a platinum certification for Da Baddest Bitch You didnt provide a source and RIAA shows they only certified it gold so Ive reverted that again â€”,no
18325,Piss off you little bitch,yes
18737, Alternative  Pop Culture Meaning   Cunt or Cee Unt  A percieved mysterious bitch that destroys everything  Whem calling someone this is a way of letting anyone know they are a cunt while censoring others around you in public or in social corners  A modern slang alerting other of the danger,yes
18918,but continuously readding an unsourced comment about her hearing shut up bitch  thats okay Summaries of YouTube videos are okay You describing Roesgen as not angry is okay Youre completely transparent,no
19373,Is not my problem  IÂ´m colombian and this bitch will die and I broke she jajajajaja,yes
19420,Yes youre being very rude but if you lack the manners to wait patiently until Dave posts or if after a week or so he hasnt responded place a polite message on his talk page to ask if hes seen this and politely request a response then at least have some tiny bit of courtesy for the rest of us who do not want to see you clutter up the page and have to wade through you bitching at Dave in order to find the posts with actual content trying to work out how to improve the article Right now youre just rude spam at one editor Stop it Its not polite and its against talk page guidelines Learn some patience and treat your fellow editors with respect,no
20016,Lets try some constructive critisim instead of out right bitching pleas,no
20559,PS He is ason of a bitch and he is also a gay pedofile He drinks his own piss and also mixes shit with his breakfast,yes
20621, Your Mother Bitch  Never heard of this demo Ive heard of the other 2 though  Also does anybody know tony or the wolfs last name If so please edit,yes
21155,As I said go bitch at that anomymous IP user  As far as I am concerned the correct use of asteroid in the first sentence is all I wanted and achieved dude     ,no
21672,hes innocent you DUMB BITCH INVESTIGATE,yes
23059,Yeah ever since the beef with 50 Em has been acting shady  Hes just not his genderbending Rolling Stone Lipstick Cover Self anymore you know what I mean  Honestly what pisses me off about that bitch is this think about this he has never not once promoted or introduced a white artist  What gives Em  I hereby challenge Eminem marshall mathers to a freestyle rap battle to take place on or before the date of May 1  Should he choose to ignore or refuse my offer I will destroy his career,no
23229, your mom    your mom was invented by god a lot of years ago later she was adopted by satan and was his motivation to invent the clock Your mom is considered a tool to most but to some she is a sex toy and usually a slut in the case where she is none then she is a bitch and will for sure burn in hell,yes
23407,Colective What Can You Lose Its a message to treelo elaich and dietlimecolaBitch preceding unsigned comment added by  at   ,yes
25319, Why are you such a Bitch   Why are you such a Bitch I mean look how you responded to thisWhy is the Carly Corinthos page blocked I have images below my contributions that I would like to share THey are now marked as orphaned Can you put them in 4 me Carly Fan 12 talk       No Pictures on pages are there for a reason and your pictures are just because you like Carly not for enhancement of the article And the page is blocked because people seem to think this is a fan site for Carly and dont understand its an encyclopedia KellyAna talk    You are awful You are like a little kid guarding and watching articles Its like its your way or the highway Get a life and quit being such a Cunt My goshwho in their right mind guards soap opera characters articles like this,yes
25336,Im just putting the Right sales bitch dont come at me,yes
25435,Juggernaut Bitch deleted   httpenwikipediaorgwindexphptitleSpecial3ALogtypedeleteuserpageTheJuggernautBitch  this link shows the article having been deleted because of this  httpenwikipediaorgwikiWikipediaArticlesfordeletionTheJuggernautBitch vote  However the consensus as you affurmed was keep   Why is the article deleted,no
25509,jaimeee and valerieee aree sooooooooooo coollll and your jelouss bitchesss,no
26215,bitch why are you deleting my shit,yes
28152,    There is no mention of the dog term in the article he stated that if someone were to search Bitch trying to find the dog term they would get the insult page    ,no
28280," YOU ARE RUDE   BACONISM IS REAL IT IS A RELIGION AND YOU ARE RACIALLY ABUSING ME I DONT GET WHY YOU DONT BELIVE ME Check this page bitchunitedchurchofbaconcom I hope I MEET YOU AND S 	  YOU    Love from eprincey",no
29616,of the biggest bitches on the universe,yes
29631,Comment  Thanks Bzuk For my part I noticed that one of my initial posts about the header whilst intended to be good natured and pithy could have come off as a bit snippy I thought you understood my noninterference in your many helpful edits in the text was total approval or whatever you know what I mean When we have the time and yeah things have maybe settled down a bit I hope we can further discuss my nitpicking bitchy concerns about the header  Gwen Gale   I can only say me too I wrote that stupid comment and your nomination for bad faith editing in haste and never intended to post it as you can tell by the mediocre spelling and typos there and hit post or save by accident I couldnt change it and immediately tried to post a new comment to try to be more civil and give you a truer indication of my attempt merely to expand on the first thing that a reader would see in looking at the life of a particularily interesting person  2219 24 January 2007 UTC  ,no
29785,  On a different note as far as I can tell none of the references indicate this block of text in anyway whatsoever Could someone please either provide a source that backs this or delete it  She was later accused of being overly critical of other contestants during her time at the Ponderosa resort she called fellow female contestant Sierra Dawn Thomas a bitch and was also deeply critical of Tyler Fredrickson At one point Fredrickson was so annoyed at Oskooi constantly trying to intervene and say something during his own personal interview that he had to stop and ask her to stop talking so that he could have his moment in front of the camera    ,no
29918,   YeaKevin is a bit annoying Lol i love Angelina she is so funny Chloe is irritating ehe She is annoying and nagging OMG noooLOL I love Genevieve The Abbott sisters as such bitches to her they are hypocrits  they act like Genevieve cheated or something They take business so seriously And by the looks of it Nikki and Jack are getting together eventually I love Victor lol I also think there is no need for Sharon to fall for Adam They never really fell out of love Ofcourse it will end in divorce all marriages in Soap World end in divorce unless one of them dies aha    ,no
30725,HE THEN TURNED IN A POSTIUTE AROUND THE CORNER OF ADAMS AND BROADWAY HE MAH BITCH NOW BWAH HA HA,yes
30894,  oh no im gonna get banned from wikipedia boo hoo please do not vandalise blahblahblah i see your lips moving but all i here it Me VSmith torturer of teenagers who served in vietnam as the platoon bitch is gonna report you uh oh have i been a bad girl or are you going to ban me some more well whateverFYOU MOTHER FCKER,yes
31419,word that says i hate our guts and get away from me bitch,yes
31736,My Rottweiller speyed bitch smiles has anyone else seen this in their dogs Her smiling has been witnessed by our family but also by many many people who she has become to trust Does anyone else see this in their dogs or is it just her I think other dogs may smile too please let me know A,no
31878, 10 January 2006 UTC  Truce ya little bitch      0236,yes
33674, bitch   bitch suck my balls,yes
35319, Cloverfield Monster   If we have a photo of the monster from the movie that isnt handdrawn or fanmade can we put it in the wiki Or is everyone going to bitch and complain most likely about the fact that it isnt fair use rationale or something     So cynical Well if it actually looks goodI mean how good can a photo of a silk screen lookâ€”  â€¢,yes
35738,Argh  We dont even link the Human rights in the United States article from the United States of America article  What are people supposed to use What links here everytime they read an article  Geez Ill go bitch about it     ,no
37113,As you know I checked received your message and your follow up I might respond to the second one although there might be no need for as I agree with you in the main part but would need to check the onWiki part to give a useful and valuable answer Im hooked up with real life issues and a certain Wiki articles talkpage as you know So please dont bitchslap me if you wont get an answer soon XD You sure understand As always best to you     ,no
37721,   Need help with user   Ive been having trouble with  that just defines possessiveness over articles If you edit a page no matter what it is hell revert you if its in his interest and when you try to speak to him about it he bitches at you with nearly anything he can perceive or even misperceive to make a Wikipedia guideline look as if its meaning something different to back him up all for the sake of him not just simply negotiating Ive tried several times to talk to him he always yells at me says my edits are disruptive or hes just says that he doesnt care and does it his way Even see some of the messages hes left me and the history for bands such as Suffocation Hes a real disruption can you talk to him because this is kind of ridiculous and I havent been the only user hes done this to â€¢  ,no
39241,yeah this is me ll e j i am a gambian i born 1991 dec 17 i start soporting in 2008 may 5 i love gambian music real is my i start to commen to my show an my videos in facebook that time in serekunda in 2009 i move there i go to b c centeral bien there with my family one day i sure king sir x on the bench he is doing nice thing there couse he is rapa i be his friend real we eneytime in the bench like hem top hip pop is starting by king sir x an bk city an mo hwak an vypa amie dibba st gambian dream du fee an me ll e j ha ha love hip love king sir x love black linx love on the bench we ar one heart from one blood we need more fans on the bench fiila gambian things   fter i start to writh song this is my first song   Yeah e j one man soljer rapin bc centaral ha ha hip pop on the bench nigger  chorus  King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do  Rap yeah king sir x you ar the one who tell me that nusic is the mistion every day an night I get to play music in my home some time when I play music my family will be comeplen will be comeplen ha ha music is my life everybody folow me lest fgo to club we gonna go down an stile king sir Some x is now give some disc dont give a shit that name you only one heat sir x my see dancen in club is my shit D J playing sir x chun oh is my game is my shit I do it like a king do I do my belen belen flow yo nigga lock at the me chang my flow like a king sir x ha music is my life everybody knows chorus  King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do  The Gambia music industry and show business in general have witnessed significant growth over the years  Despite the growth registered the industry has not reached a cherished and recognized level    The contention is that much more could be done to yield greater results and as well again the glory and patronage the music industry enjoyed in the 60s Open Mic Paradise FM  Basic Information  About Fiila Gambian Dream  Executive Producers  Abdou karim waagan Fye  Harona Drammeh  Presenters  Xmyls  Blacka Shine  Sub Presenters  Oumie Jawo  Binzy  Golly  DirectorEditor  Ousman Jarjue  EditorGraphics  Lamin jr Saine  FlxMan  Editor  Maimuna Manneh Fye  Camera  Muhammed Gomez  Sajar Daffeh  Mustapha Kinteh  after i start to go our show open mic every good frieday  after that i writh ar nother song yeah king sir x I get you hip pop one the bench is our on lest kip soporting fiila gambia black linx nigger forst to say wadup to e j nigga go to swath everybody asking me wa Am from the click bc centaral click bien fans I fix meny rock da bench we need money we need fans wa We blow in town right now bitches wanna konw you see our chang yo king sir x you always in the hood do your lil business Yo nigga I dont kear who you ar couse am in the hood call m unit if the money we make it bitches make them WA E j one man soljer hip pop on the bench me I say hip pop on the bench black linx nigga chorus King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do,no
39615, hi  penny arcade advice   Hi Mr Wikipediania  Just saw your removal of my Penny Arcade update Im new to wiki and think i now grasp why you removed it im wondering if it would be appropriate to instead say something like Bitch Dyke Faghag Whore was revived in London in 2012 for an extended run   Arcades page makes it sound like she has become inactive of late which is very much not the case so i wanted to correct this  Thanks a lot in advance  Aaron,no
40400,tonys balls itch and so do your bitch,yes
40808,  Im so infuriated right now I really dont know what to say  The comment in question is only laughable to the extent that people think its true  the humor here is a rueful chuckle of recognition the viral hook by which misogynistic bullshit perpetuates itself  and I can tell you right now that as a 20something woman I feel much less inclined to put time into Wikipedia knowing that members of the community endorse this douchery  Also considering the extent of gendered violence against women worldwide the wage gap c c its sheer idiocy to say that feminism won  and are you seriously resorting to the Some of my best friends belong to X marginalized group and agree with me therefore I am right argument  Seriously  Not all women have the same opinions Im flabbergasted that this actually needs saying and some including me will be alienated by this sort of remark  Saying that Woman sic are naturally bitchy is a nasty pernicious generalization and its doubly infuriating that by protesting this characterization Im playing right into it  Please bloody well consider what youre supporting and stand down   ,no
41228,BYE  IM NEVER COMING BACK AND YOU NINNYS CAN SQUIM AND BITCH ABOUT ANYTHING YOU WANT,no
41447, Headline text   Bold textBITCH CHRIS BROWN IS MYNE U HEARE ME ALL MINE BUY BITCHLUV U CHRIS BROWN,yes
42767,Suck ma ballz bitches,yes
43387,About user 24611571  Hi my name is Lisa I go by the ip address 24611571 Im a transexual bastard oops make that bitch  I used to be called Jack but I had a sex change and now my name is Lisa I had lesbian sex with John Kerry once that was after I became a woman I think Im smart but really I have about the IQ of a crack head such as John Kerry Wow did you know that the average human lets off 20 farts a day I let off about 86400 my friend who rapes me all the time says that thats one a second Wow Im way better than you I am now in a special school that means that Im special Im now learning how to poop Wow Im gay,yes
43897, Bitch Please   Woman please,yes
